dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
ccpp,42,5.25546,4.76238,5.0906,0.16486,4.85369,0.40177,4.72608,0.52939,4.9224,0.33307,4.70264,0.55282
ccpp,43,5.20109,4.65372,4.57533,0.62576,4.6043,0.59679,4.72635,0.47474,4.90745,0.29364,5.03947,0.16162
ccpp,44,4.89599,5.36406,4.66164,0.23435,4.60629,0.2897,4.83735,0.05864,4.98,-0.08401,4.64531,0.25067
ccpp,45,5.57277,4.8376,5.15399,0.41879,5.94778,-0.375,4.80625,0.76652,4.80882,0.76396,5.14397,0.4288
ccpp,46,5.51189,5.06216,4.61896,0.89293,4.65844,0.85345,4.76578,0.74611,4.69249,0.81939,4.62761,0.88428
ccpp,47,4.77692,4.5938,4.95616,-0.17923,5.03974,-0.26281,4.76793,0.009,4.70155,0.07537,4.70152,0.0754
