dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
california,42,0.62621,0.61041,0.64945,-0.02324,0.63983,-0.01362,0.64954,-0.02333,0.65963,-0.03342,0.63647,-0.01026
california,43,0.63383,0.61579,0.65696,-0.02313,0.64981,-0.01598,0.64148,-0.00765,0.64555,-0.01173,0.68757,-0.05374
california,44,0.61327,0.61383,0.63239,-0.01913,0.62469,-0.01143,0.62297,-0.00971,0.62376,-0.0105,0.64142,-0.02816
california,45,0.62272,0.61223,0.63958,-0.01686,0.64682,-0.0241,0.64258,-0.01986,0.65513,-0.03241,0.64007,-0.01735
california,46,0.62085,0.61282,0.61476,0.00609,0.63284,-0.01199,0.66092,-0.04007,0.63003,-0.00918,0.65401,-0.03316
california,47,0.61231,0.61972,0.61619,-0.00388,0.62224,-0.00993,0.6159,-0.00359,0.62631,-0.014,0.64292,-0.03061
