dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_teacher_sign,impr_teacher_sign,rmse_teacher_sign_ii,impr_teacher_sign_ii,rmse_teacher_sign_tmag,impr_teacher_sign_tmag
california,42,0.62621,0.61041,0.64945,-0.02324,0.65112,-0.02491,0.6681,-0.04189,0.65963,-0.03342
california,43,0.63383,0.61579,0.65696,-0.02313,0.66506,-0.03123,0.65743,-0.02361,0.64555,-0.01173
california,44,0.61327,0.61383,0.63239,-0.01913,0.64148,-0.02822,0.63959,-0.02632,0.62376,-0.0105
california,45,0.62272,0.61223,0.63958,-0.01686,0.63017,-0.00745,0.62219,0.00053,0.65513,-0.03241
california,46,0.62085,0.61282,0.61476,0.00609,0.63982,-0.01897,0.62952,-0.00867,0.63003,-0.00918
california,47,0.61231,0.61972,0.61619,-0.00388,0.64387,-0.03156,0.61914,-0.00683,0.62631,-0.014
