dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_teacher_sign,impr_teacher_sign,rmse_teacher_sign_ii,impr_teacher_sign_ii,rmse_teacher_sign_tmag,impr_teacher_sign_tmag
ccpp,42,5.25546,4.76238,5.0906,0.16486,4.5869,0.66857,4.63204,0.62343,4.9224,0.33307
ccpp,43,5.20109,4.65372,4.57533,0.62576,4.63533,0.56576,4.65894,0.54215,4.90745,0.29364
ccpp,44,4.89599,5.36406,4.66164,0.23435,4.71765,0.17833,4.68589,0.2101,4.98,-0.08401
ccpp,45,5.57277,4.8376,5.15399,0.41879,5.209,0.36377,5.49766,0.07512,4.80882,0.76396
ccpp,46,5.51189,5.06216,4.61896,0.89293,4.6422,0.86968,4.5916,0.92029,4.69249,0.81939
ccpp,47,4.77692,4.5938,4.95616,-0.17923,4.86312,-0.0862,5.10668,-0.32975,4.70155,0.07537
