dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_teacher_sign,impr_teacher_sign,rmse_teacher_sign_ii,impr_teacher_sign_ii,rmse_teacher_sign_tmag,impr_teacher_sign_tmag
airquality,42,1.70107,1.45157,2.01259,-0.31152,2.05808,-0.35701,1.98374,-0.28268,2.02307,-0.322
airquality,43,1.72385,1.654,1.4548,0.26904,29.37592,-27.65207,1.50841,0.21543,1.46329,0.26056
airquality,44,1.74255,1.75062,1.54452,0.19803,7.36534,-5.62279,1.93717,-0.19462,1.80008,-0.05752
airquality,45,1.81773,1.48197,1.67274,0.14499,1.83774,-0.02001,1.83308,-0.01535,1.72567,0.09206
airquality,46,1.79908,1.79766,1.73271,0.06637,2.53797,-0.73889,1.43288,0.3662,1.35813,0.44095
airquality,47,1.629,1.8076,1.53014,0.09887,71.5568,-69.92779,1.72469,-0.09568,1.39863,0.23038
