subset,eff,density,n,spearman,spearman_p,pearson,pearson_p
all,eff_beat_m100,n,12,0.144,0.656,-0.465,0.128
all,eff_beat_m100,d,12,0.38,0.224,-0.112,0.729
all,eff_beat_m100,spread,12,0.438,0.155,0.184,0.568
all,eff_beat_m100,nn1_mean,12,0.214,0.505,0.147,0.649
all,eff_beat_m100,knn5_mean,12,0.039,0.905,0.167,0.604
all,eff_beat_m100,knn5_median,12,0.172,0.594,0.194,0.545
all,eff_beat_m100,het_global_cv,12,-0.27,0.397,0.032,0.921
all,eff_beat_m100,knn_cv_mean,12,-0.116,0.721,0.166,0.607
all,eff_beat_m100,norm_entropy,12,0.06,0.854,0.302,0.34
all,eff_beat_m100,min_pairwise,12,0.182,0.572,0.132,0.683
all,eff_beat_m100,spc_err_strength,12,-0.105,0.746,-0.504,0.095
all,eff_beat_m100,spc_err_nn_k1,12,-0.221,0.491,-0.722,0.008
all,eff_beat_m100,var_err_strength,12,-0.448,0.145,-0.494,0.102
n>=100,eff_raw,n,10,-0.219,0.544,-0.452,0.189
n>=100,eff_raw,d,10,0.128,0.724,-0.208,0.564
n>=100,eff_raw,spread,10,0.328,0.354,0.259,0.47
n>=100,eff_raw,nn1_mean,10,0.28,0.434,0.187,0.606
n>=100,eff_raw,knn5_mean,10,0.255,0.476,0.22,0.541
n>=100,eff_raw,knn5_median,10,0.292,0.413,0.284,0.426
n>=100,eff_raw,het_global_cv,10,-0.34,0.336,0.054,0.883
n>=100,eff_raw,knn_cv_mean,10,0.316,0.374,0.181,0.618
n>=100,eff_raw,norm_entropy,10,0.243,0.498,0.282,0.43
n>=100,eff_raw,min_pairwise,10,-0.098,0.787,0.132,0.716
n>=100,eff_raw,spc_err_strength,10,-0.236,0.511,-0.587,0.075
n>=100,eff_raw,spc_err_nn_k1,10,-0.219,0.544,-0.719,0.019
n>=100,eff_raw,var_err_strength,10,-0.37,0.293,-0.772,0.009
n>=100,eff_raw_median,n,10,-0.219,0.544,-0.452,0.189
n>=100,eff_raw_median,d,10,0.128,0.724,-0.208,0.564
n>=100,eff_raw_median,spread,10,0.328,0.354,0.259,0.47
n>=100,eff_raw_median,nn1_mean,10,0.28,0.434,0.187,0.606
n>=100,eff_raw_median,knn5_mean,10,0.255,0.476,0.22,0.541
n>=100,eff_raw_median,knn5_median,10,0.292,0.413,0.284,0.426
n>=100,eff_raw_median,het_global_cv,10,-0.34,0.336,0.054,0.883
n>=100,eff_raw_median,knn_cv_mean,10,0.316,0.374,0.181,0.617
n>=100,eff_raw_median,norm_entropy,10,0.243,0.498,0.282,0.43
n>=100,eff_raw_median,min_pairwise,10,-0.098,0.787,0.132,0.716
n>=100,eff_raw_median,spc_err_strength,10,-0.236,0.511,-0.587,0.075
n>=100,eff_raw_median,spc_err_nn_k1,10,-0.219,0.544,-0.719,0.019
n>=100,eff_raw_median,var_err_strength,10,-0.37,0.293,-0.772,0.009
n>=100,eff_norm,n,10,0.043,0.907,0.106,0.772
n>=100,eff_norm,d,10,0.098,0.788,-0.007,0.985
n>=100,eff_norm,spread,10,0.006,0.987,-0.118,0.745
n>=100,eff_norm,nn1_mean,10,-0.164,0.65,-0.394,0.261
n>=100,eff_norm,knn5_mean,10,-0.286,0.424,-0.31,0.383
n>=100,eff_norm,knn5_median,10,-0.201,0.578,-0.315,0.375
n>=100,eff_norm,het_global_cv,10,-0.152,0.675,-0.052,0.886
n>=100,eff_norm,knn_cv_mean,10,0.407,0.243,0.047,0.897
n>=100,eff_norm,norm_entropy,10,-0.079,0.828,-0.126,0.729
n>=100,eff_norm,min_pairwise,10,-0.449,0.193,-0.832,0.003
n>=100,eff_norm,spc_err_strength,10,-0.139,0.701,0.008,0.983
n>=100,eff_norm,spc_err_nn_k1,10,-0.17,0.638,0.153,0.673
