dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
ccpp,structured,100,42,0.2,0.0,0.5,4.64946,4.86854,0.5,0.0,4.94843,4.94843
ccpp,structured,100,42,0.2,0.0,0.5,4.64946,4.86854,0.5,0.5,4.94843,4.94554
ccpp,structured,100,42,0.2,0.0,0.5,4.64946,4.86854,0.5,0.75,4.94843,4.77803
ccpp,structured,100,42,0.2,0.0,0.5,4.64946,4.86854,0.5,1.0,4.94843,4.73599
ccpp,structured,100,43,0.2,0.0,0.5,4.7618,5.39403,0.3,0.0,5.94437,5.94437
ccpp,structured,100,43,0.2,0.0,0.5,4.7618,5.39403,0.3,0.5,5.94437,5.72024
ccpp,structured,100,43,0.2,0.0,0.5,4.7618,5.39403,0.3,0.75,5.94437,5.23015
ccpp,structured,100,43,0.2,0.0,0.5,4.7618,5.39403,0.3,1.0,5.94437,4.82351
ccpp,structured,100,43,0.2,0.0,0.5,4.7618,5.39403,0.5,0.0,5.12894,5.12894
ccpp,structured,100,43,0.2,0.0,0.5,4.7618,5.39403,0.5,0.5,5.12894,5.13317
ccpp,structured,100,43,0.2,0.0,0.5,4.7618,5.39403,0.5,0.75,5.12894,4.59503
ccpp,structured,100,43,0.2,0.0,0.5,4.7618,5.39403,0.5,1.0,5.12894,4.68024
ccpp,structured,100,44,0.2,0.0,0.5,4.9334,4.78486,0.3,0.0,4.8467,4.8467
ccpp,structured,100,44,0.2,0.0,0.5,4.9334,4.78486,0.3,0.5,4.8467,5.24803
ccpp,structured,100,44,0.2,0.0,0.5,4.9334,4.78486,0.3,0.75,4.8467,4.65679
ccpp,structured,100,44,0.2,0.0,0.5,4.9334,4.78486,0.3,1.0,4.8467,4.83913
ccpp,structured,100,44,0.2,0.0,0.5,4.9334,4.78486,0.5,0.0,4.74441,4.74441
ccpp,structured,100,44,0.2,0.0,0.5,4.9334,4.78486,0.5,0.5,4.74441,4.98613
ccpp,structured,100,44,0.2,0.0,0.5,4.9334,4.78486,0.5,0.75,4.74441,4.64687
ccpp,structured,100,44,0.2,0.0,0.5,4.9334,4.78486,0.5,1.0,4.74441,4.57527
ccpp,structured,100,45,0.2,0.0,0.5,4.58047,4.68616,0.3,0.0,4.84952,4.84952
ccpp,structured,100,45,0.2,0.0,0.5,4.58047,4.68616,0.3,0.5,4.84952,4.64087
ccpp,structured,100,45,0.2,0.0,0.5,4.58047,4.68616,0.3,0.75,4.84952,4.94307
ccpp,structured,100,45,0.2,0.0,0.5,4.58047,4.68616,0.3,1.0,4.84952,4.97835
ccpp,structured,100,45,0.2,0.0,0.5,4.58047,4.68616,0.5,0.0,4.80347,4.80347
