dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
california,structured,100,42,0.2,0.0,0.5,0.64341,0.6316,0.5,1.0,0.6673,0.69584
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.3,0.0,0.63439,0.63439
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.3,0.5,0.63439,0.63465
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.3,0.75,0.63439,0.63587
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.3,1.0,0.63439,0.63568
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.5,0.0,0.65214,0.65214
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.5,0.5,0.65214,0.64817
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.5,0.75,0.65214,0.64154
california,structured,100,43,0.2,0.0,0.5,0.62135,0.65085,0.5,1.0,0.65214,0.65767
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.3,0.0,0.63325,0.63325
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.3,0.5,0.63325,0.63039
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.3,0.75,0.63325,0.62645
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.3,1.0,0.63325,0.63451
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.5,0.0,0.6445,0.6445
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.5,0.5,0.6445,0.63454
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.5,0.75,0.6445,0.63623
california,structured,100,44,0.2,0.0,0.5,0.62844,0.63729,0.5,1.0,0.6445,0.64326
california,structured,100,45,0.2,0.0,0.5,0.6208,0.62855,0.3,0.0,0.626,0.626
california,structured,100,45,0.2,0.0,0.5,0.6208,0.62855,0.3,0.5,0.626,0.63036
california,structured,100,45,0.2,0.0,0.5,0.6208,0.62855,0.3,0.75,0.626,0.63741
california,structured,100,45,0.2,0.0,0.5,0.6208,0.62855,0.3,1.0,0.626,0.64734
california,structured,100,45,0.2,0.0,0.5,0.6208,0.62855,0.5,0.0,0.6358,0.6358
california,structured,100,45,0.2,0.0,0.5,0.6208,0.62855,0.5,0.5,0.6358,0.62823
california,structured,100,45,0.2,0.0,0.5,0.6208,0.62855,0.5,0.75,0.6358,0.68992
california,structured,100,45,0.2,0.0,0.5,0.6208,0.62855,0.5,1.0,0.6358,0.702
california,structured,100,46,0.2,0.0,0.5,0.62423,0.62837,0.3,0.0,0.63261,0.63261
california,structured,100,46,0.2,0.0,0.5,0.62423,0.62837,0.3,0.5,0.63261,0.6293
california,structured,100,46,0.2,0.0,0.5,0.62423,0.62837,0.3,0.75,0.63261,0.64001
california,structured,100,46,0.2,0.0,0.5,0.62423,0.62837,0.3,1.0,0.63261,0.65312
california,structured,100,46,0.2,0.0,0.5,0.62423,0.62837,0.5,0.0,0.64592,0.64592
california,structured,100,46,0.2,0.0,0.5,0.62423,0.62837,0.5,0.5,0.64592,0.65078
california,structured,100,46,0.2,0.0,0.5,0.62423,0.62837,0.5,0.75,0.64592,0.64952
california,structured,100,46,0.2,0.0,0.5,0.62423,0.62837,0.5,1.0,0.64592,0.67437
california,structured,100,47,0.2,0.0,0.5,0.64856,0.62838,0.3,0.0,0.63282,0.63282
california,structured,100,47,0.2,0.0,0.5,0.64856,0.62838,0.3,0.5,0.63282,0.62811
california,structured,100,47,0.2,0.0,0.5,0.64856,0.62838,0.3,0.75,0.63282,0.63058
california,structured,100,47,0.2,0.0,0.5,0.64856,0.62838,0.3,1.0,0.63282,0.63972
california,structured,100,47,0.2,0.0,0.5,0.64856,0.62838,0.5,0.0,0.64719,0.64719
california,structured,100,47,0.2,0.0,0.5,0.64856,0.62838,0.5,0.5,0.64719,0.63685
california,structured,100,47,0.2,0.0,0.5,0.64856,0.62838,0.5,0.75,0.64719,0.64897
california,structured,100,47,0.2,0.0,0.5,0.64856,0.62838,0.5,1.0,0.64719,0.6659
