dataset,mode,epochs,seed,teacher_frac,f_opposite,p_teacher,rmse_M100,rmse_M20,student_frac,f,rmse_unguided,rmse_guided
energy,structured,100,42,0.2,0.0,0.5,0.8899,1.27549,0.5,0.75,2.43862,2.15345
energy,structured,100,42,0.2,0.0,0.5,0.8899,1.27549,0.5,1.0,2.43862,2.171
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.3,0.0,1.03791,1.03791
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.3,0.5,1.03791,1.15086
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.3,0.75,1.03791,1.09343
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.3,1.0,1.03791,1.25912
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.5,0.0,1.18595,1.18595
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.5,0.5,1.18595,1.18703
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.5,0.75,1.18595,1.3502
energy,structured,100,43,0.2,0.0,0.5,0.8699,1.16133,0.5,1.0,1.18595,1.30522
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.3,0.0,0.98268,0.98268
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.3,0.5,0.98268,1.13024
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.3,0.75,0.98268,1.24566
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.3,1.0,0.98268,1.10618
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.5,0.0,1.15868,1.15868
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.5,0.5,1.15868,1.26595
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.5,0.75,1.15868,1.22741
energy,structured,100,44,0.2,0.0,0.5,1.1853,1.12096,0.5,1.0,1.15868,1.38355
energy,structured,100,45,0.2,0.0,0.5,0.87435,1.22396,0.3,0.0,1.17348,1.17348
energy,structured,100,45,0.2,0.0,0.5,0.87435,1.22396,0.3,0.5,1.17348,1.28193
energy,structured,100,45,0.2,0.0,0.5,0.87435,1.22396,0.3,0.75,1.17348,1.3338
energy,structured,100,45,0.2,0.0,0.5,0.87435,1.22396,0.3,1.0,1.17348,1.23303
energy,structured,100,45,0.2,0.0,0.5,0.87435,1.22396,0.5,0.0,1.50044,1.50044
energy,structured,100,45,0.2,0.0,0.5,0.87435,1.22396,0.5,0.5,1.50044,1.66288
energy,structured,100,45,0.2,0.0,0.5,0.87435,1.22396,0.5,0.75,1.50044,1.58685
energy,structured,100,45,0.2,0.0,0.5,0.87435,1.22396,0.5,1.0,1.50044,1.71365
energy,structured,100,46,0.2,0.0,0.5,0.87293,1.09582,0.3,0.0,1.04658,1.04658
energy,structured,100,46,0.2,0.0,0.5,0.87293,1.09582,0.3,0.5,1.04658,1.05328
energy,structured,100,46,0.2,0.0,0.5,0.87293,1.09582,0.3,0.75,1.04658,1.14235
energy,structured,100,46,0.2,0.0,0.5,0.87293,1.09582,0.3,1.0,1.04658,1.02072
energy,structured,100,46,0.2,0.0,0.5,0.87293,1.09582,0.5,0.0,1.7932,1.7932
energy,structured,100,46,0.2,0.0,0.5,0.87293,1.09582,0.5,0.5,1.7932,1.73366
energy,structured,100,46,0.2,0.0,0.5,0.87293,1.09582,0.5,0.75,1.7932,1.58896
energy,structured,100,46,0.2,0.0,0.5,0.87293,1.09582,0.5,1.0,1.7932,1.75858
energy,structured,100,47,0.2,0.0,0.5,0.89675,0.9352,0.3,0.0,1.23125,1.23125
energy,structured,100,47,0.2,0.0,0.5,0.89675,0.9352,0.3,0.5,1.23125,1.45636
energy,structured,100,47,0.2,0.0,0.5,0.89675,0.9352,0.3,0.75,1.23125,1.38082
energy,structured,100,47,0.2,0.0,0.5,0.89675,0.9352,0.3,1.0,1.23125,1.80101
energy,structured,100,47,0.2,0.0,0.5,0.89675,0.9352,0.5,0.0,1.92663,1.92663
energy,structured,100,47,0.2,0.0,0.5,0.89675,0.9352,0.5,0.5,1.92663,1.88398
energy,structured,100,47,0.2,0.0,0.5,0.89675,0.9352,0.5,0.75,1.92663,1.96946
energy,structured,100,47,0.2,0.0,0.5,0.89675,0.9352,0.5,1.0,1.92663,2.03527
