dataset,p,mode,repeat,model,n_kept,n_removed,n_inhole,rmse_orig,rmse_inhole,rmse_surviving,target_rmse,epochs_to_target,iters_to_target,secs_to_target,secs_total,epochs_run
nyse,0.4,uniform,0,TM,25462,16974,3341,9992727.38094,12223825.22014,8779084.54312,10080195.52062,19,19,32.73,172.27,100
nyse,0.4,uniform,0,NN,25462,16974,3341,5504476.83616,6094973.3012,5210672.44301,4882388.95886,3,597,0.7,69.9,300
nyse,0.4,uniform,1,TM,25462,16974,3393,10564751.61715,9213046.44238,11143723.86061,10080195.52062,,,,172.52,100
nyse,0.4,uniform,1,NN,25462,16974,3393,5789082.38496,4280735.32603,6376074.58047,4882388.95886,2,398,0.49,72.8,300
nyse,0.4,uniform,2,TM,25462,16974,3304,10294526.75551,9013964.11734,10824002.24944,10080195.52062,,,,340.27,100
nyse,0.4,uniform,2,NN,25462,16974,3304,5716220.21372,5105954.00134,5971757.82486,4882388.95886,1,199,0.26,78.9,300
nyse,0.4,structured,0,TM,25462,16974,4267,11910266.8909,13317374.48068,10861610.9028,10080195.52062,,,,186.7,100
nyse,0.4,structured,0,NN,25462,16974,4267,5790688.23036,6832548.09852,4968382.75671,4882388.95886,31,6169,18.02,174.34,300
nyse,0.4,structured,1,TM,25462,16974,4225,9397252.70656,3877439.04758,11695904.00516,10080195.52062,14,14,52.5,375.0,100
nyse,0.4,structured,1,NN,25462,16974,4225,5685122.0904,2650831.83588,7004115.73335,4882388.95886,1,199,0.5,148.85,300
nyse,0.4,structured,2,TM,25462,16974,4217,13536870.50175,16244818.30871,11403933.3409,10080195.52062,,,,286.15,100
nyse,0.4,structured,2,NN,25462,16974,4217,6107787.37664,5443178.25567,6509143.38218,4882388.95886,1,199,0.41,121.63,300
nyse,0.5,uniform,0,TM,21218,21218,5336,9925886.54879,10846689.85967,8897803.57224,10080195.52062,14,14,33.59,239.95,100
nyse,0.5,uniform,0,NN,21218,21218,5336,5150349.93575,5150196.00466,5150505.67174,4882388.95886,1,166,0.43,130.39,300
nyse,0.5,uniform,1,TM,21218,21218,5388,10522634.0424,10423573.8889,10623875.04637,10080195.52062,,,,276.86,100
nyse,0.5,uniform,1,NN,21218,21218,5388,5708303.20464,5166931.96129,6217670.11207,4882388.95886,1,166,0.42,126.82,300
nyse,0.5,uniform,2,TM,21218,21218,5274,10516307.60038,10251636.77516,10771514.64179,10080195.52062,,,,294.95,100
nyse,0.5,uniform,2,NN,21218,21218,5274,6173897.39625,5227315.65282,6984539.55453,4882388.95886,2,332,1.0,149.74,300
nyse,0.5,structured,0,TM,21218,21218,5351,14027398.79499,15715299.42447,12070085.35886,10080195.52062,,,,259.01,100
nyse,0.5,structured,0,NN,21218,21218,5351,7196780.74359,8129087.86214,6103710.15743,4882388.95886,2,332,0.79,117.84,300
nyse,0.5,structured,1,TM,21218,21218,5325,9032065.16294,3606310.42442,12274767.86795,10080195.52062,7,7,18.17,259.63,100
nyse,0.5,structured,1,NN,21218,21218,5325,5497805.89232,2998504.49742,7184805.34506,4882388.95886,5,830,1.89,113.39,300
nyse,0.5,structured,2,TM,21218,21218,5306,13834600.02375,15336456.38732,12147794.08899,10080195.52062,,,,300.33,100
nyse,0.5,structured,2,NN,21218,21218,5306,5515937.21501,4188230.59607,6581391.15405,4882388.95886,1,166,0.43,130.18,300
nyse,0.6,uniform,0,TM,16974,25462,7181,10185021.97901,10507940.7941,9473169.66067,10080195.52062,50,50,136.0,271.99,100
nyse,0.6,uniform,0,NN,16974,25462,7181,5577740.01311,5455881.72201,5824681.20264,4882388.95886,3,399,0.86,86.41,300
nyse,0.6,uniform,1,TM,16974,25462,7332,10583028.35858,10700428.83873,10315599.80485,10080195.52062,,,,229.34,100
nyse,0.6,uniform,1,NN,16974,25462,7332,5494733.22289,5286947.46463,5933211.04926,4882388.95886,4,532,1.47,109.94,300
nyse,0.6,uniform,2,TM,16974,25462,7134,11247934.59175,10917299.64708,11897770.92721,10080195.52062,,,,204.82,100
nyse,0.6,uniform,2,NN,16974,25462,7134,5739379.39857,4790906.42398,7310185.00376,4882388.95886,2,266,0.55,82.83,300
nyse,0.6,structured,0,TM,16974,25462,6449,15254996.8513,16190155.36853,13679883.14481,10080195.52062,,,,215.96,100
nyse,0.6,structured,0,NN,16974,25462,6449,6547538.64387,6941412.07692,5885227.99872,4882388.95886,,,,75.27,300
nyse,0.6,structured,1,TM,16974,25462,6386,9869171.6045,5483500.98037,14113653.32438,10080195.52062,15,15,32.14,214.27,100
nyse,0.6,structured,1,NN,16974,25462,6386,5567752.34314,3221207.80098,7885399.22371,4882388.95886,4,532,1.41,105.79,300
nyse,0.6,structured,2,TM,16974,25462,6428,16228536.88802,18193849.34385,12624654.94031,10080195.52062,,,,259.0,100
nyse,0.6,structured,2,NN,16974,25462,6428,6290666.66817,5414747.28541,7438548.15747,4882388.95886,4,532,1.92,144.23,300
