dataset,p,mode,repeat,model,n_kept,n_removed,n_inhole,rmse_orig,rmse_inhole,rmse_surviving,target_rmse,epochs_to_target,iters_to_target,secs_to_target,secs_total,epochs_run
ccpp,0.4,uniform,2,NN,4592,3062,569,3.84696,4.24787,3.66417,3.78536,,,,11.08,300
ccpp,0.4,structured,0,TM,4592,3062,783,5.10724,5.06739,5.13465,5.32053,2,2,0.6,30.06,100
ccpp,0.4,structured,0,NN,4592,3062,783,4.1292,4.78406,3.60685,3.78536,,,,10.98,300
ccpp,0.4,structured,1,TM,4592,3062,781,4.88393,4.94806,4.83923,5.32053,8,8,2.41,30.14,100
ccpp,0.4,structured,1,NN,4592,3062,781,4.04919,4.16273,3.96904,3.78536,,,,11.35,300
ccpp,0.4,structured,2,TM,4592,3062,776,4.91146,5.28514,4.63942,5.32053,5,5,1.5,29.96,100
ccpp,0.4,structured,2,NN,4592,3062,776,4.00291,4.64971,3.49385,3.78536,,,,11.26,300
ccpp,0.5,uniform,0,TM,3827,3827,956,4.65749,4.73704,4.57672,5.32053,2,2,0.51,25.59,100
ccpp,0.5,uniform,0,NN,3827,3827,956,3.86917,3.98785,3.74698,3.78536,,,,9.23,300
ccpp,0.5,uniform,1,TM,3827,3827,1000,4.86131,4.91848,4.79797,5.32053,3,3,0.77,25.74,100
ccpp,0.5,uniform,1,NN,3827,3827,1000,3.81824,4.03569,3.56517,3.78536,,,,9.3,300
ccpp,0.5,uniform,2,TM,3827,3827,977,4.85121,4.80665,4.89725,5.32053,4,4,1.02,25.6,100
ccpp,0.5,uniform,2,NN,3827,3827,977,3.86259,3.86495,3.86013,3.78536,,,,9.34,300
ccpp,0.5,structured,0,TM,3827,3827,989,5.09912,5.14365,5.05107,5.32053,3,3,0.77,25.83,100
ccpp,0.5,structured,0,NN,3827,3827,989,4.12921,4.55152,3.62363,3.78536,,,,9.32,300
ccpp,0.5,structured,1,TM,3827,3827,951,4.82812,4.80439,4.85145,5.32053,4,4,1.02,25.55,100
ccpp,0.5,structured,1,NN,3827,3827,951,4.19747,4.4665,3.91367,3.78536,,,,9.42,300
ccpp,0.5,structured,2,TM,3827,3827,981,4.8696,5.09728,4.61812,5.32053,3,3,0.76,25.43,100
ccpp,0.5,structured,2,NN,3827,3827,981,4.20355,4.57699,3.77123,3.78536,,,,9.17,300
ccpp,0.6,uniform,0,TM,3062,4592,1291,5.30994,5.27143,5.38886,5.32053,3,3,0.65,21.55,100
ccpp,0.6,uniform,0,NN,3062,4592,1291,3.88912,3.91342,3.83827,3.78536,,,,7.36,300
ccpp,0.6,uniform,1,TM,3062,4592,1334,4.65397,4.75385,4.41566,5.32053,3,3,0.63,20.9,100
ccpp,0.6,uniform,1,NN,3062,4592,1334,3.93345,4.06167,3.62134,3.78536,,,,7.31,300
ccpp,0.6,uniform,2,TM,3062,4592,1290,4.95012,5.01229,4.81905,5.32053,3,3,0.64,21.23,100
ccpp,0.6,uniform,2,NN,3062,4592,1290,3.93407,4.03932,3.70702,3.78536,,,,7.74,300
ccpp,0.6,structured,0,TM,3062,4592,1178,4.63285,4.88493,4.19799,5.32053,4,4,0.85,21.27,100
ccpp,0.6,structured,0,NN,3062,4592,1178,4.32099,4.86543,3.26585,3.78536,,,,7.32,300
ccpp,0.6,structured,1,TM,3062,4592,1170,5.59268,5.62229,5.54581,5.32053,8,8,1.7,21.29,100
ccpp,0.6,structured,1,NN,3062,4592,1170,4.49036,4.88671,3.784,3.78536,,,,7.43,300
ccpp,0.6,structured,2,TM,3062,4592,1177,5.3213,5.61604,4.81331,5.32053,5,5,1.07,21.47,100
ccpp,0.6,structured,2,NN,3062,4592,1177,4.19634,4.48723,3.68446,3.78536,,,,7.65,300
