dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_adapt_disagree,impr_adapt_disagree,rmse_adapt_error,impr_adapt_error
airquality,42,1.70107,1.45157,2.01259,-0.31152,2.02482,-0.32375,1.98711,-0.28605
airquality,43,1.72385,1.654,1.4548,0.26904,1.39272,0.33112,1.70581,0.01804
airquality,44,1.74255,1.75062,1.54452,0.19803,1.70802,0.03454,1.37844,0.36411
airquality,45,1.81773,1.48197,1.67274,0.14499,1.77425,0.04348,1.37158,0.44615
airquality,46,1.79908,1.79766,1.73271,0.06637,1.53192,0.26715,1.64979,0.14929
airquality,47,1.629,1.8076,1.53014,0.09887,1.40497,0.22403,1.43927,0.18974
