dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_adapt_disagree,impr_adapt_disagree,rmse_adapt_error,impr_adapt_error
ccpp,42,5.25546,4.76238,5.0906,0.16486,4.9579,0.29756,4.71498,0.54048
ccpp,43,5.20109,4.65372,4.57533,0.62576,5.2048,-0.00371,4.69772,0.50337
ccpp,44,4.89599,5.36406,4.66164,0.23435,4.71157,0.18442,4.69796,0.19803
ccpp,45,5.57277,4.8376,5.15399,0.41879,4.74269,0.83008,4.87375,0.69902
ccpp,46,5.51189,5.06216,4.61896,0.89293,4.72364,0.78824,4.61971,0.89217
ccpp,47,4.77692,4.5938,4.95616,-0.17923,4.94179,-0.16487,4.63175,0.14517
