dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_adapt_disagree,impr_adapt_disagree,rmse_adapt_error,impr_adapt_error
california,42,0.62621,0.61041,0.64945,-0.02324,0.6764,-0.05019,0.68465,-0.05845
california,43,0.63383,0.61579,0.65696,-0.02313,0.64698,-0.01315,0.73045,-0.09663
california,44,0.61327,0.61383,0.63239,-0.01913,0.63925,-0.02599,0.64627,-0.033
california,45,0.62272,0.61223,0.63958,-0.01686,0.64414,-0.02142,0.66379,-0.04107
california,46,0.62085,0.61282,0.61476,0.00609,0.64569,-0.02485,0.69882,-0.07797
california,47,0.61231,0.61972,0.61619,-0.00388,0.64819,-0.03589,0.67645,-0.06414
