dataset,bucket,n,spacing_mean,hole_dist_mean,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
energy,4,461,0.6449,1.2835,0.7704,0.7003,0.9645,0.8833,-0.1941,-0.113
energy,6,181,0.6538,1.1581,0.8403,0.7549,0.979,0.9862,-0.1387,-0.1458
energy,7,30,0.7095,1.1375,0.94,0.7008,1.0305,1.018,-0.0904,-0.078
energy,8,153,0.9289,1.0418,0.9023,0.7468,1.1962,1.0341,-0.2939,-0.1318
energy,9,99,1.305,0.6705,1.7291,1.1753,1.7922,1.7933,-0.0632,-0.0643
