dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_teacher_sign,impr_teacher_sign
ccpp,42,5.25546,4.76238,5.0906,0.16486,4.85369,0.40177,4.51129,0.74418
ccpp,43,5.20109,4.65372,4.57533,0.62576,4.6043,0.59679,4.58003,0.62106
ccpp,44,4.89599,5.36406,4.66164,0.23435,4.60629,0.2897,4.80849,0.08749
ccpp,45,5.57277,4.8376,5.15399,0.41879,5.94778,-0.375,4.51945,1.05333
ccpp,46,5.51189,5.06216,4.61896,0.89293,4.65844,0.85345,4.69794,0.81395
ccpp,47,4.77692,4.5938,4.95616,-0.17923,5.03974,-0.26281,4.92125,-0.14433
