dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_teacher_sign,impr_teacher_sign
airquality,42,1.70107,1.45157,2.01259,-0.31152,1.87414,-0.17307,1.73979,-0.03872
airquality,43,1.72385,1.654,1.4548,0.26904,1.55133,0.17252,23.21565,-21.4918
airquality,44,1.74255,1.75062,1.54452,0.19803,1.36682,0.37573,7.10812,-5.36557
airquality,45,1.81773,1.48197,1.67274,0.14499,1.48284,0.33489,1.6936,0.12413
airquality,46,1.79908,1.79766,1.73271,0.06637,1.72201,0.07706,4.88663,-3.08755
airquality,47,1.629,1.8076,1.53014,0.09887,1.364,0.26501,81.48418,-79.85518
