dataset,seed,rmse_unguided,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_teacher_sign,impr_teacher_sign
california,42,0.62621,0.61041,0.64945,-0.02324,0.63983,-0.01362,0.64412,-0.01791
california,43,0.63383,0.61579,0.65696,-0.02313,0.64981,-0.01598,0.65049,-0.01666
california,44,0.61327,0.61383,0.63239,-0.01913,0.62469,-0.01143,0.61387,-0.0006
california,45,0.62272,0.61223,0.63958,-0.01686,0.64682,-0.0241,0.61895,0.00377
california,46,0.62085,0.61282,0.61476,0.00609,0.63284,-0.01199,0.62882,-0.00797
california,47,0.61231,0.61972,0.61619,-0.00388,0.62224,-0.00993,0.62712,-0.01481
