dataset,seed,rmse_unguided,rmse_M00,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
energy,42,1.15719,1.1648,1.06241,1.20926,-0.05208,1.16115,-0.00397,1.18919,-0.032,1.35807,-0.20089,1.198,-0.04081
energy,43,1.13443,0.90379,1.00735,1.20536,-0.07093,1.42748,-0.29305,1.5093,-0.37487,1.42373,-0.28929,1.22279,-0.08836
energy,44,1.13839,0.87801,0.87684,1.00217,0.13622,1.37061,-0.23223,1.0523,0.08609,1.20197,-0.06358,1.03848,0.09991
energy,45,1.40897,1.00691,1.06854,1.38982,0.01916,1.57294,-0.16397,1.3815,0.02747,1.43456,-0.02559,1.41973,-0.01075
