dataset,seed,rmse_unguided,rmse_M00,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
ccpp,42,5.25546,4.78547,4.76238,5.0906,0.16486,4.85369,0.40177,4.72608,0.52939,4.9224,0.33307,4.70264,0.55282
ccpp,43,5.20109,4.53439,4.65372,4.57533,0.62576,4.6043,0.59679,4.72635,0.47474,4.90745,0.29364,5.03947,0.16162
ccpp,44,4.89599,4.5766,5.36406,4.66164,0.23435,4.60629,0.2897,4.83735,0.05864,4.98,-0.08401,4.64531,0.25067
ccpp,45,5.57277,5.15463,4.8376,5.15399,0.41879,5.94778,-0.375,4.80625,0.76652,4.80882,0.76396,5.14397,0.4288
