dataset,seed,rmse_unguided,rmse_M00,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
airquality,42,1.70107,1.6162,1.45157,2.01259,-0.31152,1.87414,-0.17307,2.11751,-0.41644,2.02307,-0.322,1.84051,-0.13944
airquality,43,1.72385,1.85,1.654,1.4548,0.26904,1.55133,0.17252,1.5395,0.18435,1.46329,0.26056,1.70941,0.01443
airquality,44,1.74255,1.55973,1.75062,1.54452,0.19803,1.36682,0.37573,1.95389,-0.21134,1.80008,-0.05752,1.52738,0.21517
airquality,45,1.81773,1.60219,1.48197,1.67274,0.14499,1.48284,0.33489,2.34003,-0.5223,1.72567,0.09206,1.57252,0.24521
