dataset,seed,rmse_unguided,rmse_M00,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
bloodfat,42,66.2304,60.466,66.33388,77.37675,-11.14634,72.60967,-6.37926,74.94803,-8.71762,73.70334,-7.47294,79.21705,-12.98665
bloodfat,43,62.4088,58.95177,57.16167,67.76333,-5.35454,67.65178,-5.24298,69.1905,-6.7817,69.1905,-6.7817,76.03221,-13.62341
bloodfat,44,52.79358,63.11814,47.49475,58.91396,-6.12039,86.4948,-33.70122,57.52308,-4.7295,55.50348,-2.70991,54.22818,-1.4346
bloodfat,45,82.8999,67.69441,69.49777,87.4434,-4.54349,87.47611,-4.5762,83.15621,-0.25631,84.1717,-1.2718,85.6558,-2.7559
