dataset,seed,rmse_unguided,rmse_M00,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
metro,42,1974.71972,1977.39009,1972.95109,1987.64008,-12.92037,1974.29506,0.42466,1981.63469,-6.91498,1971.04461,3.6751,1971.34981,3.3699
metro,43,1964.8178,1982.91032,1971.39719,1964.86051,-0.04271,1978.5935,-13.7757,1966.15372,-1.33592,1978.23561,-13.41781,1976.06666,-11.24886
metro,44,1963.87699,1985.00698,1976.64248,1959.58106,4.29593,1959.55131,4.32568,1972.99837,-9.12138,1970.23621,-6.35922,1962.10585,1.77114
metro,45,1983.52045,1973.39307,1977.68283,1998.512,-14.99155,2006.07027,-22.54982,2005.67701,-22.15656,2024.54842,-41.02797,2030.21925,-46.6988
