dataset,seed,rmse_unguided,rmse_M00,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
california,42,0.62621,0.60806,0.61041,0.64945,-0.02324,0.63983,-0.01362,0.64954,-0.02333,0.65963,-0.03342,0.63647,-0.01026
california,43,0.63383,0.60801,0.61579,0.65696,-0.02313,0.64981,-0.01598,0.64148,-0.00765,0.64555,-0.01173,0.68757,-0.05374
california,44,0.61327,0.61978,0.61383,0.63239,-0.01913,0.62469,-0.01143,0.62297,-0.00971,0.62376,-0.0105,0.64142,-0.02816
california,45,0.62272,0.6124,0.61223,0.63958,-0.01686,0.64682,-0.0241,0.64258,-0.01986,0.65513,-0.03241,0.64007,-0.01735
