dataset,seed,rmse_unguided,rmse_M00,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
mortality,42,72.56131,69.32057,75.32694,79.52412,-6.96281,70.09476,2.46656,79.19294,-6.63163,79.13989,-6.57858,81.01333,-8.45202
mortality,43,85.6913,68.58532,79.68561,84.88375,0.80755,81.05411,4.63719,83.60161,2.08969,84.48587,1.20543,83.25835,2.43295
mortality,44,69.21624,68.75136,64.81278,71.61419,-2.39795,66.65117,2.56507,70.40779,-1.19155,70.89165,-1.67541,71.7565,-2.54025
mortality,45,68.23636,67.24501,64.03753,67.8728,0.36356,62.6367,5.59966,64.25681,3.97956,65.56043,2.67593,66.49903,1.73733
