dataset,seed,rmse_unguided,rmse_M00,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
nyse_log,42,0.58243,0.50003,0.48368,0.58347,-0.00104,0.54712,0.03531,0.50246,0.07998,0.53523,0.04721,0.49595,0.08648
nyse_log,43,0.58982,0.59797,0.53397,0.51253,0.07729,0.50392,0.0859,0.6019,-0.01208,0.53545,0.05437,0.58671,0.00311
nyse_log,44,0.54589,0.59049,0.51669,0.57731,-0.03142,0.59355,-0.04766,0.52669,0.0192,0.57215,-0.02626,0.56444,-0.01855
nyse_log,45,0.50145,0.63169,0.54752,0.50548,-0.00403,0.55935,-0.0579,0.49578,0.00567,0.52376,-0.02231,0.50839,-0.00694
