mode,eff,predictor,n,spearman,spearman_p,pearson
force_ii,eff_winrate,nn1_mean,10,-0.034,0.925,-0.185
force_ii,eff_winrate,knn5_mean,10,-0.127,0.726,-0.089
force_ii,eff_winrate,knn5_median,10,-0.065,0.858,-0.065
force_ii,eff_winrate,het_global_cv,10,-0.121,0.739,0.017
force_ii,eff_winrate,knn_cv_mean,10,0.631,0.051,0.19
force_ii,eff_winrate,norm_entropy,10,-0.04,0.912,-0.046
force_ii,eff_winrate,min_pairwise,10,-0.299,0.402,-0.466
force_ii,eff_winrate,spc_err_strength,10,-0.173,0.632,-0.097
force_ii,eff_winrate,spc_err_nn_k1,10,0.146,0.687,0.076
force_ii,eff_winrate,var_err_strength,10,-0.223,0.536,-0.26
force_ii,eff_winrate,teacher_edge,10,-0.223,0.536,-0.214
force_ii,beat_m00,n,10,-0.061,0.868,-0.452
force_ii,beat_m00,d,10,0.202,0.576,-0.208
force_ii,beat_m00,spread,10,0.34,0.336,0.259
force_ii,beat_m00,nn1_mean,10,0.255,0.476,0.187
force_ii,beat_m00,knn5_mean,10,0.219,0.544,0.22
force_ii,beat_m00,knn5_median,10,0.267,0.455,0.284
force_ii,beat_m00,het_global_cv,10,0.024,0.947,0.054
force_ii,beat_m00,knn_cv_mean,10,0.486,0.154,0.181
force_ii,beat_m00,norm_entropy,10,-0.146,0.688,0.282
force_ii,beat_m00,min_pairwise,10,-0.135,0.709,0.132
force_ii,beat_m00,spc_err_strength,10,-0.224,0.533,-0.587
force_ii,beat_m00,spc_err_nn_k1,10,0.17,0.638,-0.719
force_ii,beat_m00,var_err_strength,10,-0.442,0.2,-0.772
force_ii,beat_m00,teacher_edge,10,-0.758,0.011,-1.0
force_ii_tmag,eff_raw,n,10,-0.012,0.973,-0.452
force_ii_tmag,eff_raw,d,10,0.061,0.867,-0.208
force_ii_tmag,eff_raw,spread,10,0.134,0.713,0.259
force_ii_tmag,eff_raw,nn1_mean,10,0.195,0.59,0.187
force_ii_tmag,eff_raw,knn5_mean,10,0.231,0.521,0.22
force_ii_tmag,eff_raw,knn5_median,10,0.207,0.567,0.284
force_ii_tmag,eff_raw,het_global_cv,10,-0.085,0.815,0.054
force_ii_tmag,eff_raw,knn_cv_mean,10,-0.109,0.763,0.181
force_ii_tmag,eff_raw,norm_entropy,10,0.146,0.688,0.282
force_ii_tmag,eff_raw,min_pairwise,10,0.197,0.586,0.132
force_ii_tmag,eff_raw,spc_err_strength,10,-0.394,0.26,-0.587
force_ii_tmag,eff_raw,spc_err_nn_k1,10,-0.571,0.084,-0.719
force_ii_tmag,eff_raw,var_err_strength,10,-0.261,0.467,-0.772
force_ii_tmag,eff_raw,teacher_edge,10,-0.067,0.855,-1.0
force_ii_tmag,eff_norm,n,10,0.511,0.132,0.396
force_ii_tmag,eff_norm,d,10,-0.324,0.361,-0.494
force_ii_tmag,eff_norm,spread,10,-0.62,0.056,-0.599
force_ii_tmag,eff_norm,nn1_mean,10,-0.571,0.084,-0.562
force_ii_tmag,eff_norm,knn5_mean,10,-0.498,0.143,-0.503
force_ii_tmag,eff_norm,knn5_median,10,-0.523,0.121,-0.5
force_ii_tmag,eff_norm,het_global_cv,10,0.498,0.143,0.104
force_ii_tmag,eff_norm,knn_cv_mean,10,0.328,0.354,0.169
force_ii_tmag,eff_norm,norm_entropy,10,-0.413,0.235,-0.286
force_ii_tmag,eff_norm,min_pairwise,10,-0.566,0.088,-0.372
force_ii_tmag,eff_norm,spc_err_strength,10,-0.758,0.011,-0.658
force_ii_tmag,eff_norm,spc_err_nn_k1,10,-0.523,0.121,-0.553
force_ii_tmag,eff_norm,var_err_strength,10,-0.491,0.15,-0.266
force_ii_tmag,eff_norm,teacher_edge,10,-0.188,0.603,-0.056
force_ii_tmag,eff_winrate,n,10,-0.13,0.719,-0.077
force_ii_tmag,eff_winrate,d,10,0.056,0.877,-0.006
force_ii_tmag,eff_winrate,spread,10,0.205,0.57,0.202
force_ii_tmag,eff_winrate,nn1_mean,10,0.28,0.434,0.123
force_ii_tmag,eff_winrate,knn5_mean,10,0.304,0.392,0.184
force_ii_tmag,eff_winrate,knn5_median,10,0.304,0.392,0.217
force_ii_tmag,eff_winrate,het_global_cv,10,-0.46,0.181,-0.422
force_ii_tmag,eff_winrate,knn_cv_mean,10,0.224,0.535,-0.237
force_ii_tmag,eff_winrate,norm_entropy,10,0.435,0.209,0.27
force_ii_tmag,eff_winrate,min_pairwise,10,0.044,0.904,0.056
force_ii_tmag,eff_winrate,spc_err_strength,10,-0.155,0.669,-0.373
force_ii_tmag,eff_winrate,spc_err_nn_k1,10,-0.45,0.191,-0.44
force_ii_tmag,eff_winrate,var_err_strength,10,0.012,0.973,-0.272
force_ii_tmag,eff_winrate,teacher_edge,10,0.037,0.919,-0.381
force_ii_tmag,beat_m00,n,10,-0.067,0.854,-0.452
force_ii_tmag,beat_m00,d,10,0.061,0.867,-0.208
force_ii_tmag,beat_m00,spread,10,0.164,0.65,0.259
force_ii_tmag,beat_m00,nn1_mean,10,0.225,0.532,0.187
force_ii_tmag,beat_m00,knn5_mean,10,0.31,0.383,0.22
force_ii_tmag,beat_m00,knn5_median,10,0.286,0.424,0.284
force_ii_tmag,beat_m00,het_global_cv,10,-0.079,0.828,0.054
force_ii_tmag,beat_m00,knn_cv_mean,10,0.116,0.751,0.181
force_ii_tmag,beat_m00,norm_entropy,10,0.164,0.65,0.282
force_ii_tmag,beat_m00,min_pairwise,10,-0.018,0.96,0.132
force_ii_tmag,beat_m00,spc_err_strength,10,-0.333,0.347,-0.587
force_ii_tmag,beat_m00,spc_err_nn_k1,10,-0.468,0.172,-0.719
force_ii_tmag,beat_m00,var_err_strength,10,-0.261,0.467,-0.772
force_ii_tmag,beat_m00,teacher_edge,10,-0.321,0.365,-1.0
teacher_sign_tmag,eff_raw,n,10,-0.061,0.868,-0.452
teacher_sign_tmag,eff_raw,d,10,0.263,0.463,-0.208
teacher_sign_tmag,eff_raw,spread,10,0.292,0.413,0.259
teacher_sign_tmag,eff_raw,nn1_mean,10,0.17,0.638,0.187
teacher_sign_tmag,eff_raw,knn5_mean,10,0.122,0.738,0.22
teacher_sign_tmag,eff_raw,knn5_median,10,0.134,0.713,0.284
teacher_sign_tmag,eff_raw,het_global_cv,10,-0.182,0.614,0.054
