dataset,seed,rmse_unguided,rmse_M00,rmse_M20,rmse_uniform,impr_uniform,rmse_force_ii,impr_force_ii,rmse_force_ii_tmag,impr_force_ii_tmag,rmse_teacher_sign_tmag,impr_teacher_sign_tmag,rmse_sameside_tmag,impr_sameside_tmag
nyse,42,10376579.70227,10161837.11458,10291475.10888,10478038.49607,-101458.7938,10489258.71144,-112679.00918,10505413.58658,-128833.88431,10902346.70475,-525767.00248,10585950.81415,-209371.11189
nyse,43,10384777.61392,10010160.15605,10347754.69528,10269658.597,115119.01691,10620988.75781,-236211.14389,10782788.32624,-398010.71233,10464907.79972,-80130.1858,11192250.12652,-807472.5126
nyse,44,10217726.15738,10406901.35076,10149390.52134,10616755.35613,-399029.19875,10344660.41366,-126934.25628,10749879.23675,-532153.07937,10778798.44407,-561072.28669,10719130.60375,-501404.44637
nyse,45,11132669.48912,10255884.63074,10349298.31575,10583547.35364,549122.13548,10935458.38723,197211.1019,11213067.42285,-80397.93372,10682998.88738,449670.60174,11140598.92922,-7929.4401
